Offset-Description                                                                   
0000 - Pointer           3579FE50 : P->00FAE99C        35A2AD90 : P->00FAE99C        
0470 - Float             357A02C0 : 1                  35A2B200 : -2.761641026       
0474 - Float             357A02C4 : 1                  35A2B204 : -2.750160694       
0478 - Float             357A02C8 : 1                  35A2B208 : -2.788741112       
047C - 4 Bytes           357A02CC : 0                  35A2B20C : 3223318422         
0480 - Float             357A02D0 : 0.434928           35A2B210 : 23.81785583        
0484 - Byte              357A02D4 : 190                35A2B214 : 18                 
0485 - Byte              357A02D5 : 76                 35A2B215 : 86                 
0486 - 2 Bytes           357A02D6 : 15700              35A2B216 : 16836              
0488 - 4 Bytes (Hex)     357A02D8 : 80000000           35A2B218 : 41BEFB70           
048C - Double            357A02DC : -0.000292300712317235A2B21C : 43383176.2184054   
0494 - Float             357A02E4 : 0.7143110037       35A2B224 : 16.72276115        
0498 - 4 Bytes           357A02E8 : 0                  35A2B228 : 1099239867         
049C - Float             357A02EC : 0                  35A2B22C : 16.66690826        
04A0 - Float             357A02F0 : 1                  35A2B230 : -3.078204393       
04A4 - Float             357A02F4 : 1                  35A2B234 : -2.575925589       
04A8 - Float             357A02F8 : 1                  35A2B238 : -3.119649887       
04AC - 4 Bytes           357A02FC : 0                  35A2B23C : 3226045276         
04B0 - Float             357A0300 : 0.4349290133       35A2B240 : 24.80150986        
04B4 - Byte              357A0304 : 203                35A2B244 : 54                 
04B5 - Byte              357A0305 : 77                 35A2B245 : 112                
04B6 - 2 Bytes           357A0306 : 15700              35A2B246 : 16838              
04B8 - 4 Bytes           357A0308 : 0                  35A2B248 : 1103532850         
04BC - Double            357A030C : -0.000292300712317235A2B24C : 39691848.2218912   
04C4 - Float             357A0314 : 0.7143110037       35A2B254 : 16.42853737        
04C8 - 4 Bytes (Hex)     357A0318 : 80000000           35A2B258 : 41834392           
04CC - Double            357A031C : 0.0078125          35A2B25C : -18.120945066933   
04D4 - Float             357A0324 : 1                  35A2B264 : -2.817088127       
04D8 - Float             357A0328 : 1                  35A2B268 : -2.832109451       
04DC - 4 Bytes           357A032C : 0                  35A2B26C : 3224919556         
04E0 - 4 Bytes (Hex)     357A0330 : 80000000           35A2B270 : 41C19484           
04E4 - Float             357A0334 : 0.4162069857       35A2B274 : 24.22454453        
04E8 - Float             357A0338 : -0.0535969995      35A2B278 : 24.24092484        
04EC - 4 Bytes           357A033C : 0                  35A2B27C : 1103257716         
04F0 - Float             357A0340 : -0.1088949963      35A2B280 : 16.32352638        
04F4 - 4 Bytes           357A0344 : 0                  35A2B284 : 1099111132         
